Price,Close,High,Low,Open,Volume,Log Returns
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2015-10-26,25.96977996826172,26.61181530888057,25.88868058642386,26.60055255617461,265335200,-0.03243140894832535
2015-10-27,25.805328369140625,26.253626465695525,25.679172826762066,25.99681234254613,279537600,-0.0063525565638884365
2015-10-28,26.868623733520508,26.87538344616757,26.145489164784397,26.341479582349322,342205600,0.040378205331214584
2015-10-29,27.1524715423584,27.188516468319552,26.643348134815415,26.740216724940186,204909200,0.010508873233492633
2015-10-30,26.920434951782227,27.307909269597495,26.909170483981082,27.256095123915298,197461200,-0.008582413259967912
2015-11-02,27.298900604248047,27.339450285939357,26.94521793788585,27.21329648455156,128813200,0.013960768628905272
2015-11-03,27.612030029296875,27.81928316734913,27.190764041518047,27.21103973910817,182076000,0.011405117912440345
2015-11-04,27.483631134033203,27.893632775644694,27.398027000058736,27.738192016782467,179544400,-0.004660952423562388
2015-11-05,27.356935501098633,27.7573811961997,27.18951841429212,27.56733873257362,158210800,-0.004620516019876141
2015-11-06,27.388607025146484,27.55828698287916,27.28906262367349,27.39991971275818,132169200,0.0011570449800925298
2015-11-09,27.27775001525879,27.55828706289065,27.16010600369504,27.365983455450053,135485600,-0.0040557727951642955
2015-11-10,26.41803741455078,26.71215003121332,26.257407261967753,26.447449711861307,236511600,-0.03202433987440938
2015-11-11,26.268718719482422,26.56509247892619,26.06510243487179,26.327541585275206,180872000,-0.00566818327049613
2015-11-12,26.180484771728516,26.429348347574205,26.16464804579489,26.302654540105202,130102400,-0.003364551799313204
2015-11-13,25.41579246520996,26.146548185860336,25.399955739428616,26.062838791831144,183249600,-0.029643545766580844
2015-11-16,25.832073211669922,25.84564705404138,25.112630222732484,25.19860076787428,152426800,0.0162461361818776
2015-11-17,25.721214294433594,26.02890069067095,25.6375049116383,25.99948839954301,110467600,-0.00430075727366307
2015-11-18,26.535676956176758,26.58092424383428,26.130707345170418,26.189530199983903,186698800,0.031174017450983884
2015-11-19,26.872783660888672,27.09223671041418,26.415779675851535,26.6148702302909,173183200,0.012623886839386226
2015-11-20,26.990421295166016,27.130688931257996,26.888612302504892,26.967795923858993,137148400,0.004368021598911544
2015-11-23,26.63975715637207,27.087713068028226,26.546997937757915,26.983641160191944,129930000,-0.013077306335140466
2015-11-24,26.89539909362793,27.00173212439303,26.49721810643427,26.54472827901737,171212800,0.009550504688785658
2015-11-25,26.703100204467773,26.974589171796932,26.67821367264409,26.9700634063342,85553200,-0.007175563375077073
2015-11-27,26.653324127197266,26.78906945855036,26.60581395165312,26.761920047065026,52185600,-0.001865795631323081
2015-11-30,26.764183044433594,27.01530949201183,26.639750398850293,26.694047495980463,156721200,0.004150664539125499
2015-12-01,26.546985626220703,26.879558512657134,26.43839145477609,26.86598467274487,139409600,-0.00814833459363988
2015-12-02,26.30716896057129,26.72118829212534,26.26192168189706,26.546982644476174,133546400,-0.00907471941513543
2015-12-03,26.06283187866211,26.422554163241486,25.841117776532982,26.368257078689705,166278000,-0.009331252660169872
2015-12-04,26.929332733154297,26.97910578309778,26.04247281475157,26.083196062335027,231108000,0.03270589525944062
2015-12-07,26.759654998779297,27.11711445374053,26.653321969993183,26.918023963849016,128336800,-0.0063207859362255595
2015-12-08,26.748342514038086,26.832050167273742,26.43839324845177,26.58771067583665,137238000,-0.00042283342436976205
2015-12-09,26.157867431640625,26.62618412697429,26.03569763380479,26.614871437405125,185445600,-0.02232250626142945
2015-12-10,26.282291412353516,26.456497119477177,26.132973960892578,26.25288084378169,116850800,0.004745378997458975
2015-12-11,25.6058292388916,26.105819157804206,25.53116966554186,26.06057187302615,187544800,-0.026075351857329006
2015-12-14,25.447471618652344,25.492718920504387,24.83888557012098,25.379598939800353,257274800,-0.006203639155427856
2015-12-15,24.997251510620117,25.519866967144758,24.96557805580939,25.325300472693826,213292400,-0.0178505118043171
2015-12-16,25.189556121826172,25.33661243989637,24.614908146843884,25.128472092574132,224954000,0.007663589754267071
2015-12-17,24.65562629699707,25.395430047597255,24.65562629699707,25.343394108517348,179091200,-0.02142434721655672
2015-12-18,23.988218307495117,24.777795140586075,23.938445249201237,24.639790378144315,385813200,-0.027442315826087645
2015-12-21,24.28233528137207,24.291385086886148,23.884152469122142,24.271022592960993,190362400,0.012186336880965805
2015-12-22,24.259708404541016,24.370565486717243,24.08323980959433,24.298168778305914,131157600,-0.0009322589966019156
2015-12-23,24.571914672851562,24.626211763331916,24.25291559837354,24.268752321683365,130629600,0.0127872269147083
2015-12-24,24.440702438354492,24.660155474251308,24.42260282741841,24.660155474251308,54281600,-0.0053542355293318905
2015-12-28,24.16694450378418,24.36377382558586,24.022151115127777,24.341148456173702,106816800,-0.011264105395826679
2015-12-29,24.601327896118164,24.757433989953327,24.17599747691878,24.19862112322459,123724800,0.017814651163730256
2015-12-30,24.28006935119629,24.59227983491533,24.248395898909155,24.565132147854186,100855200,-0.013144598501688613
2015-12-31,23.81401824951172,24.21446221211971,23.714472116537895,24.209938172472665,163649200,-0.019381413132674573
2016-01-04,23.834373474121094,23.838899238789512,23.07647014306835,23.21447662220591,270597600,0.0008543929862602855
2016-01-05,23.23710060119629,23.947493769878403,23.16922966485619,23.924870124431703,223164000,-0.025378637134379385
2016-01-06,22.782358169555664,23.160180129794334,22.594580356706324,22.750684720348616,273829600,-0.019763693259025116
2016-01-07,21.820838928222656,22.65340187747959,21.816314889432988,22.325354693911653,324377600,-0.04312104461823581
2016-01-08,21.936222076416016,22.422638241655704,21.89097478358731,22.295944440876468,283192000,0.005273819263680749
2016-01-11,22.291419982910156,22.411326869402668,22.022193914395793,22.39096610425806,198957600,0.01606260369721073
2016-01-12,22.614944458007812,22.780100375599023,22.361555100877425,22.748426921716945,196616800,0.014409096646969937
2016-01-13,22.03350257873535,22.893214844520696,22.013141817307925,22.69638552035541,249758400,-0.026046807452129
2016-01-14,22.515392303466797,22.73258410919208,21.660205825439274,22.16245863979152,252680400,0.02163503820084707
2016-01-15,21.974679946899414,22.105899497671036,21.57423610011343,21.76427677965298,319335600,-0.024308298648816007
